date,open,high,low,close,volume,time,date_only,ticker
2024-10-07 11:25:00+05:30,2216.7,2217.75,2209.3,2213.95,602,11:25:00,2024-10-07,ENDURANCE
2024-10-07 11:30:00+05:30,2213.95,2215.05,2210.3,2212.45,170,11:30:00,2024-10-07,ENDURANCE
2024-10-07 11:35:00+05:30,2213.0,2214.4,2210.55,2213.75,210,11:35:00,2024-10-07,ENDURANCE
2024-10-07 11:40:00+05:30,2213.8,2214.6,2211.75,2214.6,192,11:40:00,2024-10-07,ENDURANCE
2024-10-07 11:45:00+05:30,2214.6,2220.0,2213.7,2218.25,533,11:45:00,2024-10-07,ENDURANCE
2024-10-07 11:50:00+05:30,2218.25,2224.7,2207.95,2211.85,2973,11:50:00,2024-10-07,ENDURANCE
2024-10-07 11:55:00+05:30,2211.8,2213.0,2207.6,2207.65,788,11:55:00,2024-10-07,ENDURANCE
2024-10-07 12:00:00+05:30,2207.65,2210.35,2204.0,2206.75,514,12:00:00,2024-10-07,ENDURANCE
2024-10-07 12:05:00+05:30,2206.75,2215.7,2204.65,2213.5,24170,12:05:00,2024-10-07,ENDURANCE
2024-10-07 12:10:00+05:30,2213.5,2216.0,2211.15,2215.4,269,12:10:00,2024-10-07,ENDURANCE
2024-10-07 12:15:00+05:30,2215.4,2215.4,2207.15,2209.95,715,12:15:00,2024-10-07,ENDURANCE
2024-10-07 12:20:00+05:30,2209.95,2214.65,2208.45,2213.8,236,12:20:00,2024-10-07,ENDURANCE
2024-10-07 12:25:00+05:30,2213.8,2213.8,2207.1,2209.9,999,12:25:00,2024-10-07,ENDURANCE
2024-10-07 12:30:00+05:30,2209.9,2209.9,2205.9,2207.8,146,12:30:00,2024-10-07,ENDURANCE
2024-10-07 12:35:00+05:30,2207.8,2209.75,2205.95,2206.3,106,12:35:00,2024-10-07,ENDURANCE
2024-10-07 12:40:00+05:30,2206.3,2209.75,2206.0,2208.05,81,12:40:00,2024-10-07,ENDURANCE
2024-10-07 12:45:00+05:30,2208.05,2209.5,2200.0,2202.25,844,12:45:00,2024-10-07,ENDURANCE
2024-10-07 12:50:00+05:30,2202.25,2204.65,2200.55,2202.35,233,12:50:00,2024-10-07,ENDURANCE
2024-10-07 12:55:00+05:30,2204.45,2204.45,2195.0,2197.55,410,12:55:00,2024-10-07,ENDURANCE
2024-10-07 13:00:00+05:30,2197.55,2198.75,2189.55,2192.7,258,13:00:00,2024-10-07,ENDURANCE
2024-10-07 13:05:00+05:30,2192.7,2195.15,2185.95,2187.85,1523,13:05:00,2024-10-07,ENDURANCE
2024-10-07 13:10:00+05:30,2188.05,2189.95,2185.45,2189.9,269,13:10:00,2024-10-07,ENDURANCE
2024-10-07 13:15:00+05:30,2189.9,2190.0,2187.85,2188.55,443,13:15:00,2024-10-07,ENDURANCE
